id,title,notes,release_date_date,release_date_precision,created_at,updated_at,supertype,data_source,scene_org_id,thumbnail_url,standard_url,production_type,production_subtype,platform_name,uri
43,Moaï,"Windows version needs Direct X 3 or later. Uses the MIDAS sound system for output.

Voted #13 in demo of the year 1998 in [Fleur 3](https://demozoo.org/productions/104398/) (may 1999).",1998-12-29,d,2010-10-05T22:14:05.551636+00:00,2018-04-28T09:20:52.120047+00:00,production,,,https://media.demozoo.org/screens/t/60/ce/464c.43.png,https://media.demozoo.org/screens/s/60/ce/464c.43.png,Demo,Demo,Windows,https://demozoo.org/productions/43/
44,Past,Requires DirectX 3 or later. Uses the MIDAS sound system.,1999-01-01,y,2010-10-05T22:14:05.551636+00:00,2016-04-09T14:20:02.061641+00:00,production,,,https://media.demozoo.org/screens/t/6e/ad/0528.44.png,https://media.demozoo.org/screens/s/6e/ad/0528.44.png,Demo,Demo,Windows,https://demozoo.org/productions/44/
45,No Exit,,1999-06-01,m,2010-10-05T22:14:05.551636+00:00,2017-04-16T11:08:52.764640+00:00,production,,,https://media.demozoo.org/screens/t/4c/7a/5250.45.png,https://media.demozoo.org/screens/s/4c/7a/5250.45.png,Demo,Demo,Windows,https://demozoo.org/productions/45/
46,State of Mind,"The demo comes with executables for three platforms; DOS, Windows (DirectX) and Linux. It features the track 'States of Mind' from the album <a href=""http://www.discogs.com/Senser-Stacked-Up/master/21425"">Stacked Up</a> by <a href=""http://www.discogs.com/artist/35156-Senser"">Senser</a>.

Voted #1 most popular demo and #1 demo of the year 1998 in [Fleur 3](https://demozoo.org/productions/104398/) (may 1999).",1998-12-29,d,2010-10-05T22:14:05.551636+00:00,2021-04-08T15:36:33.027617+00:00,production,,,https://media.demozoo.org/screens/t/39/c1/8fe1.46.png,https://media.demozoo.org/screens/s/39/c1/8fe1.46.png,Demo,Demo,Windows,https://demozoo.org/productions/46/
47,Cosmowave Trailer,,2000-07-20,d,2010-10-05T22:14:05.551636+00:00,2018-02-14T20:56:11.950049+00:00,production,,,,,Demo,Demo,Windows,https://demozoo.org/productions/47/
48,Experimental,,2000-04-15,d,2010-10-05T22:14:05.551636+00:00,2020-05-13T17:50:49.183855+00:00,production,,,https://media.demozoo.org/screens/t/29/63/65cf.48.png,https://media.demozoo.org/screens/s/29/63/65cf.48.png,Demo,Demo,Windows,https://demozoo.org/productions/48/
49,Wonder,"Requires OpenGL, a TNT class card, and at least a P2-300 or equivalent cpu.",1999-09-04,d,2010-10-05T22:14:05.551636+00:00,2021-03-09T19:22:25.388707+00:00,production,,,https://media.demozoo.org/screens/t/86/b8/a5ca.49.png,https://media.demozoo.org/screens/s/86/b8/a5ca.49.png,Demo,Demo,Windows,https://demozoo.org/productions/49/
50,Dream,Uses the MINFMOD system for sound output.,2000-07-15,d,2010-10-05T22:14:05.551636+00:00,2013-01-24T17:01:43.072908+00:00,production,,,https://media.demozoo.org/screens/t/38/af/bc21.50.png,https://media.demozoo.org/screens/s/38/af/bc21.50.png,Intro,64K Intro,Windows,https://demozoo.org/productions/50/
51,Contour,,1999-06-05,d,2010-10-05T22:14:05.551636+00:00,2016-03-08T20:34:28.124802+00:00,production,,,https://media.demozoo.org/screens/t/65/2c/b446.51.png,https://media.demozoo.org/screens/s/65/2c/b446.51.png,Demo,Demo,Windows,https://demozoo.org/productions/51/
52,Guggle Me,,1996-09-28,d,2010-10-05T22:14:05.551636+00:00,2016-03-09T05:50:45.120114+00:00,production,,,https://media.demozoo.org/screens/t/d6/72/ef50.52.png,https://media.demozoo.org/screens/s/d6/72/ef50.52.png,Demo,Demo,MS-Dos,https://demozoo.org/productions/52/
